TempIndex,ItemNumber,StationeryType,StationeryName,ReorderLevel,ReorderQty,UOM,Price,SupplierName,Dates,RequisitionQuantity,TotalPrice
79,S023 ,Stapler ,Stapler No. 36 ,50,20,Box ,3.9,OMEGA,"Monday, January 2, 2017",15,592.8
8,E002 ,Envelope ,Envelope Brown 3inchx6inch w Window ,600,400,Each ,1.1,OMEGA,"Monday, January 2, 2017",188,2068
70,S040 ,Tape ,Scotch Tape ,50,20,Each ,1.2,OMEGA,"Monday, January 2, 2017",2,28.8
50,P030 ,Pen ,Pen Ballpoint Black ,100,50,Dozen ,2.5,RANDOM,"Monday, January 2, 2017",16,400
16,E021 ,Eraser ,Eraser soft ,50,20,Each ,0.3,FIEND,"Monday, January 2, 2017",14,42.6
51,P031 ,Pen ,Pen Ballpoint Blue ,100,50,Dozen ,2.5,OMEGA,"Monday, January 2, 2017",49,1225
5,C005 ,Clip ,Clips Paper Medium ,50,30,Box ,1.5,APLHA,"Monday, January 2, 2017",17,261
8,E002 ,Envelope ,Envelope Brown 3inchx6inch w Window ,600,400,Each ,1.1,OMEGA,"Monday, January 2, 2017",40,440
65,P045 ,Pen ,Pencil B ,100,50,Dozen ,1,LOTCASH,"Monday, January 2, 2017",47,465
80,T001 ,Tacks ,Thumb Tacks Large ,10,10,Box ,2,BANES,"Monday, January 2, 2017",9,172
12,E006 ,Envelope ,Envelope White 3inchx6inch w Window ,600,400,Each ,1.1,OMEGA,"Monday, January 2, 2017",188,2068
89,T100 ,Tray ,Trays InOut ,20,10,Set ,6,CHEAP,"Monday, January 2, 2017",2,138
22,E035 ,Exercise ,Exercise Book Hardcover 100 pg ,100,50,Each ,0.5,BANES,"Monday, January 2, 2017",49,245
11,E005 ,Envelope ,Envelope White 3inchx6inch ,600,400,Each ,1,ISS,"Monday, January 2, 2017",72,720
72,S101 ,Sharpener ,Sharpener ,50,20,Each ,1,APLHA,"Monday, January 2, 2017",5,46
42,P011 ,Pad ,Pad Postit Memo 12inchx1inch ,100,60,Packet ,3.4,CHEAP,"Monday, January 2, 2017",31,1060.8
41,P010 ,Pad ,Pad Postit Memo 1inchx2inch ,100,60,Packet ,4.5,CHEAP,"Monday, January 2, 2017",23,1053
56,P036 ,Pen ,Pen Transparency Permanent ,100,50,Packet ,6,OMEGA,"Monday, January 2, 2017",14,810
27,F023 ,File ,File-Brown wo Logo ,200,150,Each ,2.1,APLHA,"Monday, January 2, 2017",122,2551.5
75,S012 ,Shorthand ,Shorthand Book 80 pg ,100,80,Each ,0.4,BANES,"Monday, January 2, 2017",15,60.8
57,P037 ,Pen ,Pen Transparency Soluble ,100,50,Packet ,6,LOTCASH,"Monday, January 2, 2017",44,2640
61,P041 ,Pen ,Pen Whiteboard Marker Red ,100,50,Box ,7.2,FANTASTIC,"Monday, January 2, 2017",47,3348
50,P030 ,Pen ,Pen Ballpoint Black ,100,50,Dozen ,2.5,RANDOM,"Monday, January 2, 2017",17,412.5
49,P021 ,Paper ,Paper Photostat A4 ,500,500,Box ,8,WOW,"Monday, January 2, 2017",360,28800
3,C003 ,Clip ,Clips Double 34inch ,50,30,Dozen ,0.9,RANDOM,"Monday, January 2, 2017",22,194.4
3,C003 ,Clip ,Clips Double 34inch ,50,30,Dozen ,0.9,RANDOM,"Monday, January 2, 2017",15,135
36,H013 ,Pen ,Highlighter Pink ,100,80,Box ,5.6,WOW,"Monday, January 2, 2017",35,1971.2
80,T001 ,Tacks ,Thumb Tacks Large ,10,10,Box ,2,BANES,"Monday, January 2, 2017",3,64
37,H014 ,Pen ,Highlighter Yellow ,100,80,Box ,5.6,BANES,"Monday, January 2, 2017",17,940.8
36,H013 ,Pen ,Highlighter Pink ,100,80,Box ,5.6,WOW,"Monday, January 2, 2017",31,1747.2
66,P046 ,Pen ,Pencil B with Eraser End ,100,50,Dozen ,1.2,LOTCASH,"Monday, January 2, 2017",14,168
87,T024 ,Tparency ,Transparency Reverse Blue ,100,200,Box ,1.4,FANTASTIC,"Monday, January 2, 2017",108,1512
11,E005 ,Envelope ,Envelope White 3inchx6inch ,600,400,Each ,1,ISS,"Monday, January 2, 2017",192,1920
44,P013 ,Pad ,Pad Postit Memo 2inchx3inch ,100,60,Packet ,5.6,FANTASTIC,"Monday, January 2, 2017",31,1747.2
74,S011 ,Shorthand ,Shorthand Book 120 pg ,100,80,Each ,0.6,ISS,"Monday, January 2, 2017",23,139.2
43,P012 ,Pad ,Pad Postit Memo 12inchx2inch ,100,60,Packet ,3.4,LOTCASH,"Monday, January 2, 2017",36,1224
47,P016 ,Pad ,Pad Postit Memo 34inchx2inch ,100,60,Packet ,6.2,ISS,"Monday, January 2, 2017",44,2752.8
73,S010 ,Shorthand ,Shorthand Book 100 pg ,100,80,Each ,0.5,FANTASTIC,"Monday, January 2, 2017",68,340
78,S022 ,Stapler ,Stapler No. 28 ,50,20,Box ,3.6,APLHA,"Monday, January 2, 2017",10,352.8
65,P045 ,Pen ,Pencil B ,100,50,Dozen ,1,LOTCASH,"Monday, January 2, 2017",39,390
37,H014 ,Pen ,Highlighter Yellow ,100,80,Box ,5.6,BANES,"Monday, January 2, 2017",54,3046.4
59,P039 ,Pen ,Pen Whiteboard Marker Blue ,100,50,Box ,7.2,RANDOM,"Tuesday, January 3, 2017",36,2592
54,P034 ,Pen ,Pen Felt Tip Blue ,100,50,Dozen ,2.5,APLHA,"Tuesday, January 3, 2017",33,825
54,P034 ,Pen ,Pen Felt Tip Blue ,100,50,Dozen ,2.5,APLHA,"Tuesday, January 3, 2017",27,675
87,T024 ,Tparency ,Transparency Reverse Blue ,100,200,Box ,1.4,FANTASTIC,"Tuesday, January 3, 2017",180,2520
66,P046 ,Pen ,Pencil B with Eraser End ,100,50,Dozen ,1.2,LOTCASH,"Tuesday, January 3, 2017",22,264
64,P044 ,Pen ,Pencil 4H ,100,50,Dozen ,2.3,APLHA,"Tuesday, January 3, 2017",45,1035
40,H033 ,Puncher ,Hole Puncher Adjustable ,50,20,Each ,15.3,CHEAP,"Tuesday, January 3, 2017",7,1071
89,T100 ,Tray ,Trays InOut ,20,10,Set ,6,CHEAP,"Tuesday, January 3, 2017",5,306
7,E001 ,Envelope ,Envelope Brown 3inchx6inch ,600,400,Each ,1,ISS,"Tuesday, January 3, 2017",144,1440
57,P037 ,Pen ,Pen Transparency Soluble ,100,50,Packet ,6,LOTCASH,"Tuesday, January 3, 2017",30,1770
86,T023 ,Tparency ,Transparency Red ,100,200,Box ,1.4,LOTCASH,"Tuesday, January 3, 2017",32,448
11,E005 ,Envelope ,Envelope White 3inchx6inch ,600,400,Each ,1,ISS,"Tuesday, January 3, 2017",96,960
60,P040 ,Pen ,Pen Whiteboard Marker Green ,100,50,Box ,7.2,FANTASTIC,"Tuesday, January 3, 2017",34,2412
52,P032 ,Pen ,Pen Ballpoint Red ,100,50,Dozen ,2.5,CHEAP,"Tuesday, January 3, 2017",36,887.5
63,P043 ,Pen ,Pencil 2B with Eraser End ,100,50,Dozen ,1.8,FANTASTIC,"Tuesday, January 3, 2017",10,180
43,P012 ,Pad ,Pad Postit Memo 12inchx2inch ,100,60,Packet ,3.4,LOTCASH,"Tuesday, January 3, 2017",51,1734
63,P043 ,Pen ,Pencil 2B with Eraser End ,100,50,Dozen ,1.8,FANTASTIC,"Tuesday, January 3, 2017",48,855
67,R002 ,Ruler ,Ruler 12inch ,50,20,Dozen ,3.5,FANTASTIC,"Tuesday, January 3, 2017",16,553
41,P010 ,Pad ,Pad Postit Memo 1inchx2inch ,100,60,Packet ,4.5,CHEAP,"Tuesday, January 3, 2017",52,2322
22,E035 ,Exercise ,Exercise Book Hardcover 100 pg ,100,50,Each ,0.5,BANES,"Tuesday, January 3, 2017",16,77.5
46,P015 ,Pad ,Pad Postit Memo 2inchx4inch ,100,60,Packet ,6.2,ISS,"Tuesday, January 3, 2017",36,2232
35,H012 ,Pen ,Highlighter Green ,100,80,Box ,5.6,WOW,"Tuesday, January 3, 2017",66,3673.6
27,F023 ,File ,File-Brown wo Logo ,200,150,Each ,2.1,APLHA,"Tuesday, January 3, 2017",95,1984.5
60,P040 ,Pen ,Pen Whiteboard Marker Green ,100,50,Box ,7.2,FANTASTIC,"Tuesday, January 3, 2017",29,2052
13,E007 ,Envelope ,Envelope White 5inchx7inch ,600,400,Each ,1.6,APLHA,"Tuesday, January 3, 2017",120,1920
35,H012 ,Pen ,Highlighter Green ,100,80,Box ,5.6,WOW,"Tuesday, January 3, 2017",67,3763.2
3,C003 ,Clip ,Clips Double 34inch ,50,30,Dozen ,0.9,RANDOM,"Tuesday, January 3, 2017",6,54
86,T023 ,Tparency ,Transparency Red ,100,200,Box ,1.4,LOTCASH,"Tuesday, January 3, 2017",166,2324
2,C002 ,Clip ,Clips Double 2inch ,50,30,Dozen ,1.2,BANES,"Tuesday, January 3, 2017",23,273.6
87,T024 ,Tparency ,Transparency Reverse Blue ,100,200,Box ,1.4,FANTASTIC,"Tuesday, January 3, 2017",190,2660
10,E004 ,Envelope ,Envelope Brown 5inchx7inch w Window ,600,400,Each ,1.7,ISS,"Tuesday, January 3, 2017",172,2924
43,P012 ,Pad ,Pad Postit Memo 12inchx2inch ,100,60,Packet ,3.4,LOTCASH,"Tuesday, January 3, 2017",8,285.6
86,T023 ,Tparency ,Transparency Red ,100,200,Box ,1.4,LOTCASH,"Tuesday, January 3, 2017",78,1092
26,F022 ,File ,File-Blue with Logo ,200,100,Each ,2.3,WOW,"Tuesday, January 3, 2017",27,621
16,E021 ,Eraser ,Eraser soft ,50,20,Each ,0.3,FIEND,"Tuesday, January 3, 2017",12,36.6
79,S023 ,Stapler ,Stapler No. 36 ,50,20,Box ,3.9,OMEGA,"Tuesday, January 3, 2017",6,218.4
6,C006 ,Clip ,Clips Paper Small ,50,30,Box ,1.2,BANES,"Tuesday, January 3, 2017",15,176.4
14,E008 ,Envelope ,Envelope White 5inchx7inch w Window ,600,400,Each ,1.7,BANES,"Tuesday, January 3, 2017",184,3128
72,S101 ,Sharpener ,Sharpener ,50,20,Each ,1,APLHA,"Tuesday, January 3, 2017",11,110
58,P038 ,Pen ,Pen Whiteboard Marker Black ,100,50,Box ,7.2,BANES,"Tuesday, January 3, 2017",30,2124
73,S010 ,Shorthand ,Shorthand Book 100 pg ,100,80,Each ,0.5,FANTASTIC,"Tuesday, January 3, 2017",78,388
85,T022 ,Tparency ,Transparency Green ,100,200,Box ,1.4,LOTCASH,"Tuesday, January 3, 2017",86,1204
17,E030 ,Exercise ,Exercise Book 100 pg ,100,50,Each ,0.22,OMEGA,"Tuesday, January 3, 2017",29,63.8
50,P030 ,Pen ,Pen Ballpoint Black ,100,50,Dozen ,2.5,RANDOM,"Tuesday, January 3, 2017",17,412.5
8,E002 ,Envelope ,Envelope Brown 3inchx6inch w Window ,600,400,Each ,1.1,OMEGA,"Tuesday, January 3, 2017",316,3476
61,P041 ,Pen ,Pen Whiteboard Marker Red ,100,50,Box ,7.2,FANTASTIC,"Tuesday, January 3, 2017",26,1836
6,C006 ,Clip ,Clips Paper Small ,50,30,Box ,1.2,BANES,"Tuesday, January 3, 2017",23,273.6
74,S011 ,Shorthand ,Shorthand Book 120 pg ,100,80,Each ,0.6,ISS,"Tuesday, January 3, 2017",66,398.4
42,P011 ,Pad ,Pad Postit Memo 12inchx1inch ,100,60,Packet ,3.4,CHEAP,"Tuesday, January 3, 2017",26,877.2
42,P011 ,Pad ,Pad Postit Memo 12inchx1inch ,100,60,Packet ,3.4,CHEAP,"Tuesday, January 3, 2017",37,1244.4
16,E021 ,Eraser ,Eraser soft ,50,20,Each ,0.3,FIEND,"Tuesday, January 3, 2017",12,36.6
35,H012 ,Pen ,Highlighter Green ,100,80,Box ,5.6,WOW,"Tuesday, January 3, 2017",50,2777.6
64,P044 ,Pen ,Pencil 4H ,100,50,Dozen ,2.3,APLHA,"Tuesday, January 3, 2017",47,1081
74,S011 ,Shorthand ,Shorthand Book 120 pg ,100,80,Each ,0.6,ISS,"Tuesday, January 3, 2017",34,201.6
63,P043 ,Pen ,Pencil 2B with Eraser End ,100,50,Dozen ,1.8,FANTASTIC,"Wednesday, January 4, 2017",30,531
19,E032 ,Exercise ,Exercise Book A4 Hardcover 100 pg ,100,50,Each ,0.21,WOW,"Wednesday, January 4, 2017",50,103.95
1,C001 ,Clip ,Clips Double 1inch ,50,30,Dozen ,1,FIEND,"Wednesday, January 4, 2017",5,54
66,P046 ,Pen ,Pencil B with Eraser End ,100,50,Dozen ,1.2,LOTCASH,"Wednesday, January 4, 2017",38,450
51,P031 ,Pen ,Pen Ballpoint Blue ,100,50,Dozen ,2.5,OMEGA,"Wednesday, January 4, 2017",29,725
59,P039 ,Pen ,Pen Whiteboard Marker Blue ,100,50,Box ,7.2,RANDOM,"Wednesday, January 4, 2017",48,3456
61,P041 ,Pen ,Pen Whiteboard Marker Red ,100,50,Box ,7.2,FANTASTIC,"Wednesday, January 4, 2017",28,1980
35,H012 ,Pen ,Highlighter Green ,100,80,Box ,5.6,WOW,"Wednesday, January 4, 2017",76,4256
55,P035 ,Pen ,Pen Felt Tip Red ,100,50,Dozen ,2.5,LOTCASH,"Wednesday, January 4, 2017",31,775
38,H031 ,Puncher ,Hole Puncher 2 holes ,50,20,Each ,10.2,CHEAP,"Wednesday, January 4, 2017",3,265.2
16,E021 ,Eraser ,Eraser soft ,50,20,Each ,0.3,FIEND,"Wednesday, January 4, 2017",3,7.8
45,P014 ,Pad ,Pad Postit Memo 2inchx4inch ,100,60,Packet ,6.2,APLHA,"Wednesday, January 4, 2017",41,2529.6
76,S020 ,Stapler ,Stapler No. 28 ,50,20,Each ,3.6,CHEAP,"Wednesday, January 4, 2017",17,612
12,E006 ,Envelope ,Envelope White 3inchx6inch w Window ,600,400,Each ,1.1,OMEGA,"Wednesday, January 4, 2017",184,2024
67,R002 ,Ruler ,Ruler 12inch ,50,20,Dozen ,3.5,FANTASTIC,"Wednesday, January 4, 2017",8,280
85,T022 ,Tparency ,Transparency Green ,100,200,Box ,1.4,LOTCASH,"Wednesday, January 4, 2017",72,1008
56,P036 ,Pen ,Pen Transparency Permanent ,100,50,Packet ,6,OMEGA,"Wednesday, January 4, 2017",48,2850
20,E033 ,Exercise ,Exercise Book A4 Hardcover 120 pg ,100,50,Each ,0.22,BANES,"Wednesday, January 4, 2017",38,82.5
82,T003 ,Tacks ,Thumb Tacks Small ,10,10,Box ,1,LOTCASH,"Wednesday, January 4, 2017",3,28
85,T022 ,Tparency ,Transparency Green ,100,200,Box ,1.4,LOTCASH,"Wednesday, January 4, 2017",84,1176
76,S020 ,Stapler ,Stapler No. 28 ,50,20,Each ,3.6,CHEAP,"Wednesday, January 4, 2017",9,324
87,T024 ,Tparency ,Transparency Reverse Blue ,100,200,Box ,1.4,FANTASTIC,"Wednesday, January 4, 2017",164,2296
78,S022 ,Stapler ,Stapler No. 28 ,50,20,Box ,3.6,APLHA,"Wednesday, January 4, 2017",18,633.6
45,P014 ,Pad ,Pad Postit Memo 2inchx4inch ,100,60,Packet ,6.2,APLHA,"Wednesday, January 4, 2017",50,3087.6
73,S010 ,Shorthand ,Shorthand Book 100 pg ,100,80,Each ,0.5,FANTASTIC,"Wednesday, January 4, 2017",10,48
21,E034 ,Exercise ,Exercise Book A4 Hardcover 200 pg ,100,50,Each ,0.27,BANES,"Wednesday, January 4, 2017",37,99.9
14,E008 ,Envelope ,Envelope White 5inchx7inch w Window ,600,400,Each ,1.7,BANES,"Wednesday, January 4, 2017",284,4828
70,S040 ,Tape ,Scotch Tape ,50,20,Each ,1.2,OMEGA,"Wednesday, January 4, 2017",16,194.4
49,P021 ,Paper ,Paper Photostat A4 ,500,500,Box ,8,WOW,"Wednesday, January 4, 2017",320,25600
54,P034 ,Pen ,Pen Felt Tip Blue ,100,50,Dozen ,2.5,APLHA,"Wednesday, January 4, 2017",44,1100
4,C004 ,Clip ,Clips Paper Large ,50,30,Box ,2,APLHA,"Wednesday, January 4, 2017",7,138
73,S010 ,Shorthand ,Shorthand Book 100 pg ,100,80,Each ,0.5,FANTASTIC,"Wednesday, January 4, 2017",52,260
67,R002 ,Ruler ,Ruler 12inch ,50,20,Dozen ,3.5,FANTASTIC,"Wednesday, January 4, 2017",18,644
64,P044 ,Pen ,Pencil 4H ,100,50,Dozen ,2.3,APLHA,"Wednesday, January 4, 2017",42,966
27,F023 ,File ,File-Brown wo Logo ,200,150,Each ,2.1,APLHA,"Wednesday, January 4, 2017",117,2457
72,S101 ,Sharpener ,Sharpener ,50,20,Each ,1,APLHA,"Wednesday, January 4, 2017",14,140
76,S020 ,Stapler ,Stapler No. 28 ,50,20,Each ,3.6,CHEAP,"Wednesday, January 4, 2017",15,540
9,E003 ,Envelope ,Envelope Brown 5inchx7inch ,600,400,Each ,1.6,LOTCASH,"Wednesday, January 4, 2017",292,4672
69,S100 ,Scissors ,Scissors ,50,20,Each ,4,LOTCASH,"Wednesday, January 4, 2017",11,456
48,P020 ,Paper ,Paper Photostat A3 ,500,500,Box ,13,APLHA,"Wednesday, January 4, 2017",425,55250
68,R001 ,Ruler ,Ruler 6inch ,50,20,Dozen ,2.5,APLHA,"Wednesday, January 4, 2017",17,430
79,S023 ,Stapler ,Stapler No. 36 ,50,20,Box ,3.9,OMEGA,"Wednesday, January 4, 2017",7,265.2
90,T101,Tray ,Tray Brown ,20,10,Set ,6,APLHA,"Wednesday, January 4, 2017",6,330
86,T023 ,Tparency ,Transparency Red ,100,200,Box ,1.4,LOTCASH,"Wednesday, January 4, 2017",44,616
56,P036 ,Pen ,Pen Transparency Permanent ,100,50,Packet ,6,OMEGA,"Wednesday, January 4, 2017",8,480
56,P036 ,Pen ,Pen Transparency Permanent ,100,50,Packet ,6,OMEGA,"Wednesday, January 4, 2017",6,330
42,P011 ,Pad ,Pad Postit Memo 12inchx1inch ,100,60,Packet ,3.4,CHEAP,"Wednesday, January 4, 2017",53,1815.6
69,S100 ,Scissors ,Scissors ,50,20,Each ,4,LOTCASH,"Wednesday, January 4, 2017",15,600
82,T003 ,Tacks ,Thumb Tacks Small ,10,10,Box ,1,LOTCASH,"Wednesday, January 4, 2017",8,77
37,H014 ,Pen ,Highlighter Yellow ,100,80,Box ,5.6,BANES,"Wednesday, January 4, 2017",48,2688
5,C005 ,Clip ,Clips Paper Medium ,50,30,Box ,1.5,APLHA,"Wednesday, January 4, 2017",21,319.5
85,T022 ,Tparency ,Transparency Green ,100,200,Box ,1.4,LOTCASH,"Wednesday, January 4, 2017",74,1036
33,F035 ,File ,Folder Plastic Yellow ,200,150,Each ,4,APLHA,"Wednesday, January 4, 2017",113,4500
12,E006 ,Envelope ,Envelope White 3inchx6inch w Window ,600,400,Each ,1.1,OMEGA,"Wednesday, January 4, 2017",140,1540
1,C001 ,Clip ,Clips Double 1inch ,50,30,Dozen ,1,FIEND,"Wednesday, January 4, 2017",6,60
81,T002 ,Tacks ,Thumb Tacks Medium ,10,10,Box ,1.5,WOW,"Wednesday, January 4, 2017",6,91.5
73,S010 ,Shorthand ,Shorthand Book 100 pg ,100,80,Each ,0.5,FANTASTIC,"Wednesday, January 4, 2017",17,84
84,T021 ,Tparency ,Transparency Clear ,500,400,Box ,1.4,LOTCASH,"Thursday, January 5, 2017",332,4648
40,H033 ,Puncher ,Hole Puncher Adjustable ,50,20,Each ,15.3,CHEAP,"Thursday, January 5, 2017",18,2723.4
8,E002 ,Envelope ,Envelope Brown 3inchx6inch w Window ,600,400,Each ,1.1,OMEGA,"Thursday, January 5, 2017",92,1012
7,E001 ,Envelope ,Envelope Brown 3inchx6inch ,600,400,Each ,1,ISS,"Thursday, January 5, 2017",212,2120
21,E034 ,Exercise ,Exercise Book A4 Hardcover 200 pg ,100,50,Each ,0.27,BANES,"Thursday, January 5, 2017",11,29.7
84,T021 ,Tparency ,Transparency Clear ,500,400,Box ,1.4,LOTCASH,"Thursday, January 5, 2017",112,1568
30,F032 ,File ,Folder Plastic Clear ,200,150,Each ,4,BANES,"Thursday, January 5, 2017",84,3360
13,E007 ,Envelope ,Envelope White 5inchx7inch ,600,400,Each ,1.6,APLHA,"Thursday, January 5, 2017",260,4160
13,E007 ,Envelope ,Envelope White 5inchx7inch ,600,400,Each ,1.6,APLHA,"Thursday, January 5, 2017",152,2432
47,P016 ,Pad ,Pad Postit Memo 34inchx2inch ,100,60,Packet ,6.2,ISS,"Thursday, January 5, 2017",28,1748.4
11,E005 ,Envelope ,Envelope White 3inchx6inch ,600,400,Each ,1,ISS,"Thursday, January 5, 2017",348,3480
51,P031 ,Pen ,Pen Ballpoint Blue ,100,50,Dozen ,2.5,OMEGA,"Thursday, January 5, 2017",37,925
67,R002 ,Ruler ,Ruler 12inch ,50,20,Dozen ,3.5,FANTASTIC,"Thursday, January 5, 2017",15,511
40,H033 ,Puncher ,Hole Puncher Adjustable ,50,20,Each ,15.3,CHEAP,"Thursday, January 5, 2017",10,1468.8
65,P045 ,Pen ,Pencil B ,100,50,Dozen ,1,LOTCASH,"Thursday, January 5, 2017",17,170
19,E032 ,Exercise ,Exercise Book A4 Hardcover 100 pg ,100,50,Each ,0.21,WOW,"Thursday, January 5, 2017",41,85.05
88,T025 ,Tparency ,Transparency Cover 3M ,500,400,Box ,1.4,FIEND,"Thursday, January 5, 2017",140,1960
51,P031 ,Pen ,Pen Ballpoint Blue ,100,50,Dozen ,2.5,OMEGA,"Thursday, January 5, 2017",26,650
14,E008 ,Envelope ,Envelope White 5inchx7inch w Window ,600,400,Each ,1.7,BANES,"Thursday, January 5, 2017",44,748
29,F031 ,File ,Folder Plastic Blue ,200,150,Each ,4,OMEGA,"Thursday, January 5, 2017",54,2160
36,H013 ,Pen ,Highlighter Pink ,100,80,Box ,5.6,WOW,"Thursday, January 5, 2017",31,1747.2
76,S020 ,Stapler ,Stapler No. 28 ,50,20,Each ,3.6,CHEAP,"Thursday, January 5, 2017",18,662.4
90,T101,Tray ,Tray Brown ,20,10,Set ,6,APLHA,"Thursday, January 5, 2017",2,138
88,T025 ,Tparency ,Transparency Cover 3M ,500,400,Box ,1.4,FIEND,"Thursday, January 5, 2017",40,560
22,E035 ,Exercise ,Exercise Book Hardcover 100 pg ,100,50,Each ,0.5,BANES,"Thursday, January 5, 2017",14,67.5
17,E030 ,Exercise ,Exercise Book 100 pg ,100,50,Each ,0.22,OMEGA,"Thursday, January 5, 2017",49,107.8
64,P044 ,Pen ,Pencil 4H ,100,50,Dozen ,2.3,APLHA,"Thursday, January 5, 2017",42,966
78,S022 ,Stapler ,Stapler No. 28 ,50,20,Box ,3.6,APLHA,"Thursday, January 5, 2017",15,547.2
41,P010 ,Pad ,Pad Postit Memo 1inchx2inch ,100,60,Packet ,4.5,CHEAP,"Thursday, January 5, 2017",14,648
31,F033 ,File ,Folder Plastic Green ,200,150,Each ,4,RANDOM,"Thursday, January 5, 2017",83,3300
55,P035 ,Pen ,Pen Felt Tip Red ,100,50,Dozen ,2.5,LOTCASH,"Thursday, January 5, 2017",7,175
76,S020 ,Stapler ,Stapler No. 28 ,50,20,Each ,3.6,CHEAP,"Thursday, January 5, 2017",13,453.6
35,H012 ,Pen ,Highlighter Green ,100,80,Box ,5.6,WOW,"Thursday, January 5, 2017",68,3808
26,F022 ,File ,File-Blue with Logo ,200,100,Each ,2.3,WOW,"Thursday, January 5, 2017",24,552
41,P010 ,Pad ,Pad Postit Memo 1inchx2inch ,100,60,Packet ,4.5,CHEAP,"Thursday, January 5, 2017",11,513
20,E033 ,Exercise ,Exercise Book A4 Hardcover 120 pg ,100,50,Each ,0.22,BANES,"Thursday, January 5, 2017",48,105.6
88,T025 ,Tparency ,Transparency Cover 3M ,500,400,Box ,1.4,FIEND,"Thursday, January 5, 2017",192,2688
62,P042 ,Pen ,Pencil 2B ,100,50,Dozen ,1.2,CHEAP,"Thursday, January 5, 2017",30,354
29,F031 ,File ,Folder Plastic Blue ,200,150,Each ,4,OMEGA,"Thursday, January 5, 2017",26,1020
33,F035 ,File ,Folder Plastic Yellow ,200,150,Each ,4,APLHA,"Thursday, January 5, 2017",42,1680
77,S021 ,Stapler ,Stapler No. 36 ,50,20,Each ,3.9,FIEND,"Thursday, January 5, 2017",7,265.2
64,P044 ,Pen ,Pencil 4H ,100,50,Dozen ,2.3,APLHA,"Thursday, January 5, 2017",49,1127
31,F033 ,File ,Folder Plastic Green ,200,150,Each ,4,RANDOM,"Thursday, January 5, 2017",126,5040
17,E030 ,Exercise ,Exercise Book 100 pg ,100,50,Each ,0.22,OMEGA,"Thursday, January 5, 2017",44,96.8
41,P010 ,Pad ,Pad Postit Memo 1inchx2inch ,100,60,Packet ,4.5,CHEAP,"Thursday, January 5, 2017",32,1458
72,S101 ,Sharpener ,Sharpener ,50,20,Each ,1,APLHA,"Thursday, January 5, 2017",9,90
90,T101,Tray ,Tray Brown ,20,10,Set ,6,APLHA,"Thursday, January 5, 2017",3,186
69,S100 ,Scissors ,Scissors ,50,20,Each ,4,LOTCASH,"Thursday, January 5, 2017",14,576
25,F021 ,File ,File-Blue Plain ,200,100,Each ,2.3,ISS,"Thursday, January 5, 2017",73,1679
3,C003 ,Clip ,Clips Double 34inch ,50,30,Dozen ,0.9,RANDOM,"Thursday, January 5, 2017",15,132.3
